127.0.0.1 - - [12/Oct/2021:10:09:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:09:24 +0900] "GET /jspbook/ch06_twitter/twitter_login.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:09:28 +0900] "POST /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:09:31 +0900] "POST /jspbook/ch06_twitter/tweet.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:09:31 +0900] "GET /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:09:36 +0900] "POST /jspbook/ch06_twitter/tweet.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:09:36 +0900] "GET /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:10:12 +0900] "GET /jspbook/ch06_twitter/twitter_login.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:12:07 +0900] "GET /jspbook/ch06_twitter/twitter_login.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:12:12 +0900] "POST /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:12:14 +0900] "POST /jspbook/ch06_twitter/tweet.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:12:14 +0900] "GET /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:15:39 +0900] "GET /jspbook/ch06_twitter/twitter_login.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:18:25 +0900] "GET /jspbook/ch06_twitter/twitter_login.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:18:29 +0900] "POST /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:18:31 +0900] "POST /jspbook/ch06_twitter/tweet.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:18:31 +0900] "GET /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:24:01 +0900] "POST /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:24:03 +0900] "POST /jspbook/ch06_twitter/tweet.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:24:03 +0900] "GET /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:24:33 +0900] "GET /jspbook/ch06_twitter/twitter_login.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:24:35 +0900] "POST /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:27:50 +0900] "GET /jspbook/ch06_twitter/twitter_login.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:27:51 +0900] "POST /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:27:54 +0900] "POST /jspbook/ch06_twitter/tweet.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:27:54 +0900] "GET /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 3110
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:37:17 +0900] "GET /jspbook/ch06_twitter/twitter_login.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:37:19 +0900] "POST /jspbook/ch06_twitter/twitter_list.jsp HTTP/1.1" 200 3107
